route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
C7Ba15,1,C7,Gare Part-Dieu V.Merle --> Hôpital Lyon Sud,REG,3,778186
C7Br15,1,C7,Hôpital Lyon Sud --> Gare Part-Dieu V.Merle,REG,3,778186
C7Ba17,1,C7,Gare Part-Dieu V.Merle --> Hôpital Lyon Sud,REG,3,778186
C7Br17,1,C7,Hôpital Lyon Sud --> Gare Part-Dieu V.Merle,REG,3,778186
C8Aa21,1,C8,Grange Blanche --> Vaulx - Résistance,REG,3,778186
C8Ar21,1,C8,Vaulx - Résistance --> Grange Blanche,REG,3,778186
C9Aa30,1,C9,Bellecour Le Viste --> Hôpitaux Est,REG,3,778186
C9Ar30,1,C9,Hôpitaux Est --> Bellecour Le Viste,REG,3,778186
C10Aa25,1,C10,Bellecour Charité --> Saint-Genis Barolles,REG,3,778186
C10Ar25,1,C10,Saint-Genis Barolles --> Bellecour Charité,REG,3,778186
C11Aa22,1,C11,Saxe - Gambetta --> Laurent Bonnevay,REG,3,778186
C11Ar22,1,C11,Laurent Bonnevay --> Saxe - Gambetta,REG,3,778186
C11Aa21,1,C11,Saxe - Gambetta --> Laurent Bonnevay,REG,3,778186
C11Ar21,1,C11,Laurent Bonnevay --> Saxe - Gambetta,REG,3,778186
C12Aa21,1,C12,Bellecour Le Viste --> Hop. Feyzin Venissieux,REG,3,778186
C12Ar21,1,C12,Hop. Feyzin Venissieux --> Bellecour Le Viste,REG,3,778186
C12Aa20,1,C12,Bellecour Le Viste --> Hop. Feyzin Venissieux,REG,3,778186
C12Ar20,1,C12,Hop. Feyzin Venissieux --> Bellecour Le Viste,REG,3,778186
C12Aa19,1,C12,Bellecour Le Viste --> Hop. Feyzin Venissieux,REG,3,778186
C12Ar19,1,C12,Hop. Feyzin Venissieux --> Bellecour Le Viste,REG,3,778186
C13Ba3,1,C13,Grange Blanche --> Montessuy Gutenberg,REG,3,778186
C13Br3,1,C13,Montessuy Gutenberg --> Grange Blanche,REG,3,778186
C14Aa34,1,C14,Jean Macé --> Les Sources,REG,3,778186
C14Ar34,1,C14,Les Sources --> Jean Macé,REG,3,778186
