from_stop_id,to_stop_id,transfer_type,min_transfer_time
45848,36375,2,180
35659,36375,2,360
46206,47647,2,120
35676,47647,2,120
35669,39996,2,120
35669,39937,2,360
35668,39996,2,120
35668,39937,2,360
35669,39938,2,360
35668,39938,2,360
35670,44418,2,180
35671,10490,2,180
35671,44418,2,180
35670,10490,2,180
35671,2743,2,180
35670,2743,2,180
35671,2742,2,180
35675,1970,2,120
35675,1971,2,120
35674,1970,2,120
35674,1971,2,120
35670,2742,2,180
35669,37214,2,120
35668,37214,2,120
35660,11500,2,180
35660,11501,2,180
35661,11501,2,180
35661,11500,2,180
35669,36414,2,180
35668,36414,2,180
35669,36394,2,120
35669,36434,2,120
35668,36434,2,120
35668,36394,2,120
35659,46024,2,180
45884,46024,2,180
35659,46025,2,180
45848,46024,2,180
35676,36114,2,180
46206,36114,2,180
35676,36115,2,180
46206,36115,2,180
35668,37169,2,120
35669,37169,2,120
35669,37274,2,120
35668,37274,2,120
35668,37217,2,120
35669,37217,2,120
35669,47685,2,120
35668,47685,2,120
45271,32156,2,60
45270,32157,2,60
45270,1091,2,180
45271,1091,2,180
45271,1087,2,180
45270,1087,2,180
45271,47792,2,180
45270,47792,2,180
45265,45769,2,180
45265,45767,2,180
45261,45764,2,180
45266,45769,2,180
45266,45767,2,180
45260,45764,2,180
45261,45766,2,180
45260,45766,2,180
45270,1086,2,180
45270,11014,2,180
45271,1086,2,180
45271,11014,2,180
45271,1095,2,180
45270,1095,2,180
45270,46422,2,180
45271,46422,2,180
45271,32962,2,180
45270,32962,2,180
45266,45773,2,180
45265,45774,2,180
45266,45774,2,180
45265,45773,2,180
45271,30190,2,180
45270,30189,2,180
45271,30189,2,180
45270,1089,2,180
45271,1089,2,180
45260,47339,2,180
45263,11276,2,180
45263,11275,2,180
45261,47339,2,180
45262,11275,2,180
45262,11276,2,180
45265,45768,2,180
45266,45768,2,180
45883,32121,2,180
39454,32149,2,180
45883,32122,2,180
39454,32148,2,180
45883,32123,2,180
45883,32120,2,180
45883,45848,2,180
45883,35659,2,60
45883,45884,2,180
45870,45869,2,60
45862,45861,2,60
45864,45863,2,60
45883,35834,2,180
45883,32503,2,180
45883,2982,2,300
45883,47004,2,360
46154,2543,2,120
45883,11534,2,180
46155,2350,2,180
45883,39054,2,180
45864,899,2,120
45864,900,2,120
35094,2543,2,120
46155,39037,2,180
35094,2542,2,120
46156,39037,2,180
45862,38834,2,180
45862,37408,2,180
46156,2350,2,180
46154,2542,2,120
45883,10324,2,180
45883,10323,2,240
45883,46088,2,180
46154,2541,2,120
35094,2541,2,120
45864,901,2,120
45864,902,2,120
45883,34350,2,180
45862,1892,2,180
45870,30366,2,180
45883,11213,2,180
45862,1889,2,180
45883,11738,2,180
46156,10476,2,120
46157,1954,2,120
46158,1954,2,120
46156,10477,2,120
46155,10476,2,120
46159,46190,2,120
46158,1955,2,120
46155,10477,2,120
46160,46190,2,120
46159,46189,2,120
46160,46189,2,120
46157,1955,2,120
45883,36375,2,180
46155,10346,2,120
46155,10347,2,120
46156,10346,2,120
